Landkreis/Kreis/(Stadt);Land;Lebenserwartung
Breisgau-Hochschwarzwald;Baden-Württem.;83,17
Tübingen;Baden-Württem.;83,01
Böblingen;Baden-Württem.;82,89
Bodenseekreis;Baden-Württem.;82,73
Heidenheim;Baden-Württem.;82,72
Heidelberg, Stadt;Baden-Württem.;82,72
Esslingen;Baden-Württem.;82,71
Reutlingen;Baden-Württem.;82,69
Ludwigsburg;Baden-Württem.;82,57
Enzkreis;Baden-Württem.;82,48
Stuttgart, Stadt;Baden-Württem.;82,43
Rems-Murr-Kreis;Baden-Württem.;82,24
Emmendingen;Baden-Württem.;82,14
Calw;Baden-Württem.;82,12
Alb-Donau-Kreis;Baden-Württem.;82,11
Ulm, Stadt;Baden-Württem.;82,01
Ravensburg;Baden-Württem.;82,01
Zollernalbkreis;Baden-Württem.;81,96
Karlsruhe;Baden-Württem.;81,94
Konstanz;Baden-Württem.;81,93
Freiburg im Breisgau, Stadt;Baden-Württem.;81,91
Schwarzwald-Baar-Kreis;Baden-Württem.;81,85
Rhein-Neckar-Kreis;Baden-Württem.;81,85
Lörrach;Baden-Württem.;81,83
Göppingen;Baden-Württem.;81,83
Karlsruhe, Stadt;Baden-Württem.;81,81
Waldshut;Baden-Württem.;81,75
Ortenaukreis;Baden-Württem.;81,73
Schwäbisch Hall;Baden-Württem.;81,72
Rastatt;Baden-Württem.;81,72
Ostalbkreis;Baden-Württem.;81,67
Biberach;Baden-Württem.;81,62
Rottweil;Baden-Württem.;81,57
Heilbronn;Baden-Württem.;81,56
Tuttlingen;Baden-Württem.;81,5
Main-Tauber-Kreis;Baden-Württem.;81,43
Hohenlohekreis;Baden-Württem.;81,32
Freudenstadt;Baden-Württem.;81,26
Sigmaringen;Baden-Württem.;81,24
Pforzheim, Stadt;Baden-Württem.;81,09
Neckar-Odenwald-Kreis;Baden-Württem.;80,84
Heilbronn, Stadt;Baden-Württem.;80,66
Mannheim, Stadt;Baden-Württem.;80,27
Baden-Baden, Stadt;Baden-Württem.;80,26
Münster, Stadt;NRW;82,43
Bonn, Stadt;NRW;82,23
Rheinisch-Bergischer Kreis;NRW;81,81
Warendorf;NRW;81,73
Gütersloh;NRW;81,7
Rhein-Sieg-Kreis;NRW;81,65
Paderborn;NRW;81,47
